feature,importance
choppiness,0.15174615
macd,0.1265408
macd_hist,0.108037986
volume_sma_20,0.090839185
rsi_7,0.056435943
sma_5,0.052070744
bb_width,0.041328356
return_5,0.04089059
momentum_streak,0.040686864
pivot,0.038936708
dist_from_resistance,0.034871638
bb_lower,0.034059256
range_vs_avg,0.020345425
return_1,0.019598464
s1,0.017997675
return_10,0.017747182
ema_5,0.01730339
macd_signal,0.017025545
vix,0.013550183
trend_strength,0.013491748
range_compression,0.0134253055
atr,0.00972902
return_20,0.0084280465
volume_ratio,0.0072567086
dist_from_support,0.00458171
s2,0.0030753661
is_monday,0.0
optimal_hours,0.0
avoid_time,0.0
market_close_30,0.0
market_open_30,0.0
day_of_week,0.0
sma_20,0.0
minute,0.0
hour,0.0
sma_10,0.0
consecutive_down,0.0
consecutive_up,0.0
ema_10,0.0
avg_range,0.0
volatility_rank,0.0
bb_position,0.0
ema_20,0.0
sma_50,0.0
r2,0.0
ema_50,0.0
r1,0.0
sma_200,0.0
ema_200,0.0
support_1,0.0
resistance_1,0.0
rsi_14,0.0
bb_middle,0.0
bb_upper,0.0
is_friday,0.0
